point,algorithm,time,coverage,length,rotation
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,280,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,290,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,300,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,310,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,320,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,330,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,340,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,350,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,360,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,370,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,380,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,390,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,400,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,410,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,420,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,430,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,440,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,450,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,460,97.37,3504,3000
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,470,97.37,3504,3000
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,10,34.12,1043,1089
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,20,57.11,1514,1565
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,30,73.02,1836,1931
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,40,78.43,2137,2191
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,50,82.29,2409,2358
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,60,83.5,2609,2472
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,70,94.38,2871,2724
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,80,97.12,3105,2872
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,90,97.38,3294,2947
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,100,97.7,3508,3025
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,110,97.84,3711,3078
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,120,97.87,3796,3092
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,130,97.94,3941,3114
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,140,97.98,4048,3138
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,150,98.08,4124,3147
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,160,98.16,4282,3179
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,170,98.18,4390,3195
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,180,98.2,4454,3199
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,190,98.23,4552,3227
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,200,98.27,4669,3236
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,210,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,220,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,230,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,240,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,250,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,260,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,270,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,280,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,290,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,300,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,310,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,320,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,330,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,340,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,350,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,360,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,370,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,380,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,390,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,400,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,410,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,420,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,430,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,440,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,450,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,460,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,470,98.27,4686,3240
2 - [  1.59000003 -12.5         -5.66468811],BAstar,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],BAstar,10,28.02,979,494
