point,algorithm,time,coverage,length,rotation
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,90,74.09,3339,4845
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,100,81.89,3537,5120
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,110,85.18,3710,5388
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,120,89.98,3929,5739
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,130,92.54,4084,5994
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,140,94.52,4260,6311
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,150,94.61,4311,6383
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,160,95.12,4433,6393
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,170,95.29,4532,6402
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,180,95.5,4621,6425
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,190,95.56,4703,6549
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,200,96.52,4851,6756
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,210,98.13,4988,6938
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,220,98.26,5066,7022
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,230,98.26,5120,7032
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,240,98.27,5185,7086
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,250,98.27,5188,7088
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,260,98.29,5211,7093
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,270,98.29,5211,7093
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,280,98.29,5211,7093
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,290,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,300,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,310,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,320,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,330,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,340,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,350,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,360,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,370,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,380,98.33,5257,7103
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,390,98.33,5257,7103
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,10,28.01,1154,1399
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,20,42.2,1695,2071
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,30,53.19,2091,2587
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,40,64.37,2458,3007
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,50,75.12,2792,3392
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,60,79.2,3095,3788
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,70,86.66,3373,4168
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,80,86.84,3645,4462
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,90,87.29,3848,4638
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,100,92.39,4101,4974
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,110,93.35,4354,5335
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,120,93.37,4522,5448
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,130,93.43,4760,5688
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,140,93.43,4936,5782
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,150,93.61,5155,6008
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,160,94.21,5360,6224
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,170,94.22,5525,6327
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,180,94.22,5667,6382
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,190,94.22,5780,6425
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,200,94.77,5986,6623
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,210,95.88,6193,6867
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,220,97.81,6400,7133
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,230,98.32,6606,7362
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,240,99.25,6810,7600
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,250,99.28,7000,7773
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,260,99.33,7182,7925
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,270,99.33,7321,7996
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,280,99.34,7452,8066
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,290,99.34,7570,8107
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,300,99.35,7680,8141
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,310,99.36,7790,8162
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,320,99.36,7888,8207
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,330,99.37,7993,8240
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,340,99.37,8102,8288
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,350,99.37,8182,8300
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,360,99.38,8263,8327
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,370,99.38,8353,8362
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,380,99.38,8442,8381
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,390,99.38,8507,8392
2 - [  1.59000003 -12.5         -5.66468811],BAstar,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],BAstar,10,33.42,1115,805
2 - [  1.59000003 -12.5         -5.66468811],BAstar,20,44.0,1531,1084
2 - [  1.59000003 -12.5         -5.66468811],BAstar,30,47.19,1901,1506
2 - [  1.59000003 -12.5         -5.66468811],BAstar,40,53.26,2319,1898
2 - [  1.59000003 -12.5         -5.66468811],BAstar,50,54.58,2582,2220
2 - [  1.59000003 -12.5         -5.66468811],BAstar,60,55.69,2740,2398
2 - [  1.59000003 -12.5         -5.66468811],BAstar,70,55.74,2845,2461
2 - [  1.59000003 -12.5         -5.66468811],BAstar,80,59.87,3093,2695
2 - [  1.59000003 -12.5         -5.66468811],BAstar,90,65.9,3289,2786
2 - [  1.59000003 -12.5         -5.66468811],BAstar,100,75.78,3498,2914
2 - [  1.59000003 -12.5         -5.66468811],BAstar,110,78.95,3669,3024
2 - [  1.59000003 -12.5         -5.66468811],BAstar,120,84.86,3898,3148
2 - [  1.59000003 -12.5         -5.66468811],BAstar,130,89.0,4067,3242
2 - [  1.59000003 -12.5         -5.66468811],BAstar,140,92.01,4262,3400
2 - [  1.59000003 -12.5         -5.66468811],BAstar,150,93.12,4444,3644
2 - [  1.59000003 -12.5         -5.66468811],BAstar,160,94.63,4587,3819
2 - [  1.59000003 -12.5         -5.66468811],BAstar,170,98.39,4741,3921
2 - [  1.59000003 -12.5         -5.66468811],BAstar,180,98.41,4805,3958
2 - [  1.59000003 -12.5         -5.66468811],BAstar,190,98.54,4871,4036
2 - [  1.59000003 -12.5         -5.66468811],BAstar,200,98.55,4956,4043
2 - [  1.59000003 -12.5         -5.66468811],BAstar,210,98.56,4988,4066
2 - [  1.59000003 -12.5         -5.66468811],BAstar,220,98.56,5012,4071
2 - [  1.59000003 -12.5         -5.66468811],BAstar,230,98.56,5019,4081
2 - [  1.59000003 -12.5         -5.66468811],BAstar,240,98.56,5036,4086
2 - [  1.59000003 -12.5         -5.66468811],BAstar,250,98.56,5036,4086
2 - [  1.59000003 -12.5         -5.66468811],BAstar,260,98.56,5036,4086
2 - [  1.59000003 -12.5         -5.66468811],BAstar,270,98.56,5036,4086
2 - [  1.59000003 -12.5         -5.66468811],BAstar,280,98.62,5074,4098
2 - [  1.59000003 -12.5         -5.66468811],BAstar,290,98.62,5074,4098
