point,algorithm,time,coverage,length,rotation
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,450,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,460,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,470,98.23,4798,3195
5 - [-20.28000069   4.5         -5.51468706],BAstar,0,0,0,0
5 - [-20.28000069   4.5         -5.51468706],BAstar,10,31.69,958,486
5 - [-20.28000069   4.5         -5.51468706],BAstar,20,37.26,1282,667
5 - [-20.28000069   4.5         -5.51468706],BAstar,30,56.99,1850,909
5 - [-20.28000069   4.5         -5.51468706],BAstar,40,64.28,2188,1061
5 - [-20.28000069   4.5         -5.51468706],BAstar,50,80.54,2550,1199
5 - [-20.28000069   4.5         -5.51468706],BAstar,60,85.98,2768,1307
5 - [-20.28000069   4.5         -5.51468706],BAstar,70,90.65,3016,1513
5 - [-20.28000069   4.5         -5.51468706],BAstar,80,90.72,3038,1522
5 - [-20.28000069   4.5         -5.51468706],BAstar,90,90.93,3080,1541
5 - [-20.28000069   4.5         -5.51468706],BAstar,100,90.93,3080,1541
5 - [-20.28000069   4.5         -5.51468706],BAstar,110,91.12,3171,1556
5 - [-20.28000069   4.5         -5.51468706],BAstar,120,94.69,3313,1610
5 - [-20.28000069   4.5         -5.51468706],BAstar,130,97.33,3438,1680
5 - [-20.28000069   4.5         -5.51468706],BAstar,140,97.45,3488,1691
5 - [-20.28000069   4.5         -5.51468706],BAstar,150,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,160,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,170,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,180,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,190,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,200,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,210,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,220,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,230,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,240,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,250,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,260,97.46,3524,1693
5 - [-20.28000069   4.5         -5.51468706],BAstar,270,97.46,3524,1693
