point,algorithm,time,coverage,length,rotation
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,390,99.11,7824,7056
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,400,99.12,7898,7060
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,410,99.12,7898,7060
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,420,99.12,7898,7060
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,430,99.12,7947,7071
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,440,99.12,8057,7102
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,450,99.12,8135,7120
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,460,99.13,8230,7132
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,470,99.13,8338,7149
2 - [  1.59000003 -12.5         -5.66468811],BAstar,0,0,0,0
2 - [  1.59000003 -12.5         -5.66468811],BAstar,10,34.76,1155,601
